Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03 00:00:00-05:00,36.25159135670189,36.637657292343015,34.591507833445036,36.000648498535156,53228400,0.0,0.0
2000-01-04 00:00:00-05:00,35.074064620988615,36.174351733479725,34.66869568480768,34.784515380859375,54119000,0.0,0.0
2000-01-05 00:00:00-05:00,34.32125315281273,35.94272967971727,33.780760977177884,35.15129470825195,64059600,0.0,0.0
2000-01-06 00:00:00-05:00,34.649412122639745,35.170601051503965,33.47191120927984,33.97379684448242,54976600,0.0,0.0
2000-01-07 00:00:00-05:00,33.549114789978816,34.66870550218754,33.14374573900669,34.417762756347656,62013600,0.0,0.0
2000-01-10 00:00:00-05:00,35.03547516591299,35.11268833432272,34.39846652653276,34.6687126159668,44963600,0.0,0.0
2000-01-11 00:00:00-05:00,34.43707754952567,35.286422511509485,33.568429292951315,33.780765533447266,46743600,0.0,0.0
2000-01-12 00:00:00-05:00,33.51050705974509,33.62632678460596,32.255793373752326,32.68046569824219,66532400,0.0,0.0
2000-01-13 00:00:00-05:00,32.23648745771767,33.54911089910977,31.348536306187725,33.29816818237305,83144000,0.0,0.0
2000-01-14 00:00:00-05:00,33.10514595566985,35.18990150273244,32.661170237313925,34.6687126159668,73416400,0.0,0.0
2000-01-18 00:00:00-05:00,34.53359005935793,35.98133698750318,34.51428676698266,35.61457443237305,81483600,0.0,0.0
2000-01-19 00:00:00-05:00,34.12821785757475,34.43707050786954,32.73838093124817,33.04723358154297,97568200,0.0,0.0
2000-01-20 00:00:00-05:00,33.06654022099837,33.87727851012968,32.69977766162945,32.73838424682617,56349800,0.0,0.0
2000-01-21 00:00:00-05:00,33.04722404020379,33.124437180484634,31.889026935991037,32.043453216552734,68416200,0.0,0.0
2000-01-24 00:00:00-05:00,32.05794285992045,32.641867455141046,31.1362106476301,31.271333694458008,63597600,0.0,0.0
2000-01-25 00:00:00-05:00,31.194118437143803,32.08206982830013,30.750142741565643,31.75391387939453,59823200,0.0,0.0
